Oppdrag_ID,Dato_og_Tid,Time,Skift,Er_helg,c_eff,bind_min,n_aktive,kap_prosedyre,kap_beste_evne,Overordnet_oppdragstype
2874797,2025-01-01 15:01:40,15,Dag,False,3,12.966666666666667,0,Normal,Normal,Andre typer oppdrag
2874869,2025-01-01 16:33:43,16,Dag,False,3,10.933333333333334,0,Normal,Normal,Unødige og falske utrykninger
2874927,2025-01-01 18:19:22,18,Dag,False,3,12.8,0,Normal,Normal,Brann
2874951,2025-01-01 19:01:09,19,Natt,False,2,12.966666666666667,0,Normal,Normal,110-oppdrag uten involvering av brannvesen
2874958,2025-01-01 19:20:30,19,Natt,False,2,24.516666666666666,0,Normal,Normal,Ulykke
2875092,2025-01-02 00:06:14,0,Natt,False,2,14.9,0,Normal,Normal,Unødige og falske utrykninger
2875141,2025-01-02 04:25:34,4,Natt,False,2,11.933333333333334,0,Normal,Normal,Unødige og falske utrykninger
2875201,2025-01-02 07:19:14,7,Dag,False,3,12.966666666666667,0,Normal,Normal,Brann
2875198,2025-01-02 07:20:09,7,Dag,False,3,11.266666666666667,1,Degradert,Normal,Ulykke
2875261,2025-01-02 08:18:17,8,Dag,False,3,8.216666666666667,0,Normal,Normal,Ulykke
2875553,2025-01-02 11:01:18,11,Dag,False,3,16.633333333333333,0,Normal,Normal,Brann
2875565,2025-01-02 11:06:02,11,Dag,False,3,9.966666666666667,1,Degradert,Normal,Ulykke
2875599,2025-01-02 11:23:13,11,Dag,False,3,14.3,0,Normal,Normal,Brann
2875594,2025-01-02 11:23:39,11,Dag,False,3,42.75,1,Degradert,Normal,Ulykke
2875601,2025-01-02 11:30:12,11,Dag,False,3,14.95,2,Svikt,Degradert,Brann
2875662,2025-01-02 12:10:22,12,Dag,False,3,12.766666666666667,0,Normal,Normal,Unødige og falske utrykninger
2875790,2025-01-02 13:09:48,13,Dag,False,3,12.966666666666667,0,Normal,Normal,Unødige og falske utrykninger
2875829,2025-01-02 13:44:02,13,Dag,False,3,9.416666666666668,0,Normal,Normal,Unødige og falske utrykninger
2875839,2025-01-02 13:53:22,13,Dag,False,3,10.15,1,Degradert,Normal,Ulykke
2875858,2025-01-02 14:03:17,14,Dag,False,3,23.633333333333333,1,Degradert,Normal,Ulykke
2875860,2025-01-02 14:05:07,14,Dag,False,3,41.56666666666667,1,Degradert,Normal,Ulykke
2875867,2025-01-02 14:07:18,14,Dag,False,3,12.966666666666667,2,Svikt,Degradert,Unødige og falske utrykninger
2875870,2025-01-02 14:10:06,14,Dag,False,3,5.466666666666667,3,Svikt,Svikt,Ulykke
2875903,2025-01-02 14:29:13,14,Dag,False,3,13.55,1,Degradert,Normal,Brann
2875956,2025-01-02 15:02:54,15,Dag,False,3,18.03333333333333,0,Normal,Normal,Brann
2875976,2025-01-02 15:17:12,15,Dag,False,3,12.966666666666667,1,Degradert,Normal,Unødige og falske utrykninger
2876121,2025-01-02 17:21:32,17,Dag,False,3,12.966666666666667,0,Normal,Normal,Unødige og falske utrykninger
2876157,2025-01-02 17:55:46,17,Dag,False,3,20.283333333333335,0,Normal,Normal,Ulykke
2876236,2025-01-02 19:17:03,19,Natt,False,2,10.45,0,Normal,Normal,Unødige og falske utrykninger
2876327,2025-01-02 21:12:37,21,Natt,False,2,13.4,0,Normal,Normal,Ulykke
2876328,2025-01-02 21:21:03,21,Natt,False,2,7.883333333333334,1,Svikt,Degradert,Unødige og falske utrykninger
2876348,2025-01-02 21:44:59,21,Natt,False,2,15.6,0,Normal,Normal,Brann
2876367,2025-01-02 22:24:54,22,Natt,False,2,15.066666666666666,0,Normal,Normal,Unødige og falske utrykninger
2876412,2025-01-03 00:32:38,0,Natt,False,2,17.566666666666666,0,Normal,Normal,Ulykke
2876422,2025-01-03 01:21:25,1,Natt,False,2,12.8,0,Normal,Normal,Unødige og falske utrykninger
2876445,2025-01-03 02:57:31,2,Natt,False,2,20.8,0,Normal,Normal,Ulykke
2876461,2025-01-03 04:07:32,4,Natt,False,2,28.15,0,Normal,Normal,Unødige og falske utrykninger
2876464,2025-01-03 04:13:49,4,Natt,False,2,12.5,1,Svikt,Degradert,Brann
2876471,2025-01-03 04:33:09,4,Natt,False,2,8.283333333333333,1,Svikt,Degradert,Unødige og falske utrykninger
2876517,2025-01-03 06:48:29,6,Natt,False,2,16.383333333333333,0,Normal,Normal,Unødige og falske utrykninger
2876588,2025-01-03 07:50:24,7,Dag,False,3,5.983333333333333,0,Normal,Normal,Unødige og falske utrykninger
2876598,2025-01-03 07:56:13,7,Dag,False,3,9.916666666666668,1,Degradert,Normal,Brann
2876838,2025-01-03 10:03:35,10,Dag,False,3,6.333333333333334,0,Normal,Normal,Unødige og falske utrykninger
2876865,2025-01-03 10:08:47,10,Dag,False,3,19.033333333333335,1,Degradert,Normal,Unødige og falske utrykninger
2876955,2025-01-03 10:53:55,10,Dag,False,3,12.966666666666667,0,Normal,Normal,Unødige og falske utrykninger
2877168,2025-01-03 12:22:39,12,Dag,False,3,12.516666666666667,0,Normal,Normal,Unødige og falske utrykninger
2877387,2025-01-03 14:01:40,14,Dag,False,3,12.966666666666667,0,Normal,Normal,Unødige og falske utrykninger
2877418,2025-01-03 14:13:09,14,Dag,False,3,12.966666666666667,1,Degradert,Normal,Unødige og falske utrykninger
2877528,2025-01-03 15:52:13,15,Dag,False,3,16.28333333333333,0,Normal,Normal,Andre typer oppdrag
2877590,2025-01-03 16:48:20,16,Dag,False,3,7.116666666666666,0,Normal,Normal,Unødige og falske utrykninger
2877665,2025-01-03 17:57:53,17,Dag,False,3,12.966666666666667,0,Normal,Normal,Unødige og falske utrykninger
2877818,2025-01-03 20:22:52,20,Natt,False,2,17.566666666666666,0,Normal,Normal,Brann
2877827,2025-01-03 20:35:38,20,Natt,False,2,9.583333333333332,1,Svikt,Degradert,Brann
2877886,2025-01-03 21:47:23,21,Natt,False,2,11.6,0,Normal,Normal,Brann
2877981,2025-01-04 00:35:54,0,Natt,True,2,32.83333333333333,0,Normal,Normal,Ulykke
2878194,2025-01-04 10:20:38,10,Dag,True,2,12.966666666666667,0,Normal,Normal,Ulykke
2878336,2025-01-04 13:08:24,13,Dag,True,2,12.966666666666667,0,Normal,Normal,Unødige og falske utrykninger
2878373,2025-01-04 13:46:11,13,Dag,True,2,11.616666666666667,0,Normal,Normal,Unødige og falske utrykninger
2878440,2025-01-04 15:03:39,15,Dag,True,2,11.983333333333333,0,Normal,Normal,Unødige og falske utrykninger
2878449,2025-01-04 15:13:03,15,Dag,True,2,12.966666666666667,1,Svikt,Degradert,Unødige og falske utrykninger
2878470,2025-01-04 15:37:20,15,Dag,True,2,12.966666666666667,0,Normal,Normal,Unødige og falske utrykninger
2878511,2025-01-04 16:33:25,16,Dag,True,2,12.966666666666667,0,Normal,Normal,Unødige og falske utrykninger
2878606,2025-01-04 18:11:51,18,Dag,True,2,11.983333333333333,0,Normal,Normal,Ulykke
2878616,2025-01-04 18:23:26,18,Dag,True,2,18.4,1,Svikt,Degradert,Brann
2878836,2025-01-04 22:47:19,22,Natt,True,2,12.966666666666667,0,Normal,Normal,Ulykke
2878837,2025-01-04 22:47:56,22,Natt,True,2,12.966666666666667,1,Svikt,Degradert,110-oppdrag uten involvering av brannvesen
2878838,2025-01-04 22:51:40,22,Natt,True,2,11.133333333333333,2,Svikt,Svikt,Ulykke
2878845,2025-01-04 23:10:44,23,Natt,True,2,19.766666666666666,0,Normal,Normal,Unødige og falske utrykninger
2878853,2025-01-04 23:14:46,23,Natt,True,2,8.883333333333333,1,Svikt,Degradert,Ulykke
2878852,2025-01-04 23:16:08,23,Natt,True,2,12.966666666666667,2,Svikt,Svikt,Ulykke
2878920,2025-01-05 01:42:12,1,Natt,True,2,35.083333333333336,0,Normal,Normal,Unødige og falske utrykninger
2878951,2025-01-05 03:46:57,3,Natt,True,2,12.966666666666667,0,Normal,Normal,Unødige og falske utrykninger
2878960,2025-01-05 04:54:49,4,Natt,True,2,14.9,0,Normal,Normal,Unødige og falske utrykninger
2878974,2025-01-05 06:12:57,6,Natt,True,2,10.266666666666666,0,Normal,Normal,Unødige og falske utrykninger
2879037,2025-01-05 09:21:21,9,Dag,True,2,13.483333333333333,0,Normal,Normal,Unødige og falske utrykninger
2879058,2025-01-05 10:08:51,10,Dag,True,2,18.15,0,Normal,Normal,Ulykke
2879293,2025-01-05 14:14:17,14,Dag,True,2,9.7,0,Normal,Normal,Ulykke
2879313,2025-01-05 14:30:05,14,Dag,True,2,12.633333333333333,0,Normal,Normal,Andre typer oppdrag
2879426,2025-01-05 17:09:23,17,Dag,True,2,12.966666666666667,0,Normal,Normal,Unødige og falske utrykninger
2879465,2025-01-05 17:47:41,17,Dag,True,2,50.18333333333333,0,Normal,Normal,Brann
2879600,2025-01-05 18:08:06,18,Dag,True,2,155.78333333333333,1,Svikt,Degradert,Brann
2885436,2025-01-05 19:25:28,19,Natt,True,2,19.166666666666668,1,Svikt,Degradert,Ulykke
2879601,2025-01-05 20:37:05,20,Natt,True,2,12.4,1,Svikt,Degradert,Andre typer oppdrag
2879609,2025-01-05 20:44:36,20,Natt,True,2,10.833333333333332,1,Svikt,Degradert,Brann
2879627,2025-01-05 21:11:46,21,Natt,True,2,12.566666666666666,0,Normal,Normal,Brann
2879636,2025-01-05 21:21:29,21,Natt,True,2,12.966666666666667,1,Svikt,Degradert,Unødige og falske utrykninger
2879650,2025-01-05 21:45:24,21,Natt,True,2,12.0,0,Normal,Normal,Unødige og falske utrykninger
2879688,2025-01-05 22:36:13,22,Natt,True,2,12.966666666666667,0,Normal,Normal,Ulykke
2879750,2025-01-06 02:27:47,2,Natt,False,2,10.316666666666666,0,Normal,Normal,Unødige og falske utrykninger
2879760,2025-01-06 03:10:39,3,Natt,False,2,11.133333333333333,0,Normal,Normal,Unødige og falske utrykninger
2879809,2025-01-06 05:58:35,5,Natt,False,2,12.966666666666667,0,Normal,Normal,Andre typer oppdrag
2879816,2025-01-06 06:24:04,6,Natt,False,2,20.733333333333334,0,Normal,Normal,Ulykke
2879820,2025-01-06 06:37:25,6,Natt,False,2,10.7,1,Svikt,Degradert,Ulykke
2879966,2025-01-06 08:36:29,8,Dag,False,3,15.016666666666667,0,Normal,Normal,Ulykke
2880062,2025-01-06 09:31:26,9,Dag,False,3,12.966666666666667,0,Normal,Normal,Unødige og falske utrykninger
2880122,2025-01-06 10:15:07,10,Dag,False,3,9.883333333333333,0,Normal,Normal,Unødige og falske utrykninger
2880453,2025-01-06 12:31:29,12,Dag,False,3,11.666666666666666,0,Normal,Normal,Ulykke
2880455,2025-01-06 12:33:18,12,Dag,False,3,6.4,1,Degradert,Normal,Unødige og falske utrykninger
2880586,2025-01-06 13:52:45,13,Dag,False,3,13.8,0,Normal,Normal,Unødige og falske utrykninger
2880611,2025-01-06 14:03:13,14,Dag,False,3,12.016666666666667,1,Degradert,Normal,Unødige og falske utrykninger
2880663,2025-01-06 14:24:11,14,Dag,False,3,17.96666666666667,0,Normal,Normal,Ulykke
2880711,2025-01-06 14:52:18,14,Dag,False,3,10.683333333333334,0,Normal,Normal,Brann
2880737,2025-01-06 15:09:23,15,Dag,False,3,12.966666666666667,0,Normal,Normal,Ulykke
2880818,2025-01-06 16:28:49,16,Dag,False,3,17.9,0,Normal,Normal,Unødige og falske utrykninger
2880863,2025-01-06 17:01:46,17,Dag,False,3,15.933333333333334,0,Normal,Normal,Andre typer oppdrag
2880901,2025-01-06 17:33:57,17,Dag,False,3,31.433333333333334,0,Normal,Normal,Andre typer oppdrag
2880958,2025-01-06 18:12:02,18,Dag,False,3,20.133333333333333,0,Normal,Normal,Unødige og falske utrykninger
2880962,2025-01-06 18:12:19,18,Dag,False,3,15.05,1,Degradert,Normal,Brann
2880978,2025-01-06 18:22:51,18,Dag,False,3,13.133333333333333,2,Svikt,Degradert,Andre typer oppdrag
2881062,2025-01-06 19:30:30,19,Natt,False,2,19.9,0,Normal,Normal,Brann
2881078,2025-01-06 19:49:00,19,Natt,False,2,13.0,1,Svikt,Degradert,Ulykke
2881116,2025-01-06 20:23:53,20,Natt,False,2,13.7,0,Normal,Normal,Brann
2881130,2025-01-06 20:27:40,20,Natt,False,2,27.183333333333334,1,Svikt,Degradert,Unødige og falske utrykninger
2881272,2025-01-07 00:13:37,0,Natt,False,2,15.85,0,Normal,Normal,Unødige og falske utrykninger
2881278,2025-01-07 00:21:40,0,Natt,False,2,12.616666666666667,1,Svikt,Degradert,Ulykke
2881451,2025-01-07 07:45:36,7,Dag,False,3,12.383333333333333,0,Normal,Normal,Unødige og falske utrykninger
2881475,2025-01-07 08:01:25,8,Dag,False,3,15.583333333333334,0,Normal,Normal,Ulykke
2881471,2025-01-07 08:03:16,8,Dag,False,3,12.966666666666667,1,Degradert,Normal,Unødige og falske utrykninger
2881487,2025-01-07 08:10:41,8,Dag,False,3,8.933333333333334,2,Svikt,Degradert,Unødige og falske utrykninger
2881526,2025-01-07 08:38:24,8,Dag,False,3,10.85,0,Normal,Normal,Brann
2881612,2025-01-07 09:14:38,9,Dag,False,3,13.733333333333333,0,Normal,Normal,Andre typer oppdrag
2881773,2025-01-07 10:22:24,10,Dag,False,3,12.966666666666667,0,Normal,Normal,Andre typer oppdrag
2881856,2025-01-07 10:51:36,10,Dag,False,3,22.3,0,Normal,Normal,Ulykke
2881970,2025-01-07 12:03:56,12,Dag,False,3,12.966666666666667,0,Normal,Normal,Unødige og falske utrykninger
2882012,2025-01-07 12:19:04,12,Dag,False,3,5.933333333333334,0,Normal,Normal,Ulykke
2882034,2025-01-07 12:28:13,12,Dag,False,3,11.383333333333333,0,Normal,Normal,Unødige og falske utrykninger
2882111,2025-01-07 12:59:43,12,Dag,False,3,7.666666666666667,0,Normal,Normal,Unødige og falske utrykninger
2882146,2025-01-07 13:14:14,13,Dag,False,3,12.966666666666667,0,Normal,Normal,Unødige og falske utrykninger
2882269,2025-01-07 14:18:57,14,Dag,False,3,12.966666666666667,0,Normal,Normal,Unødige og falske utrykninger
2882273,2025-01-07 14:19:27,14,Dag,False,3,18.766666666666666,1,Degradert,Normal,Unødige og falske utrykninger
2882319,2025-01-07 14:53:20,14,Dag,False,3,13.233333333333333,0,Normal,Normal,Andre typer oppdrag
2882331,2025-01-07 15:05:47,15,Dag,False,3,8.9,1,Degradert,Normal,Unødige og falske utrykninger
2882365,2025-01-07 15:33:55,15,Dag,False,3,12.4,0,Normal,Normal,Unødige og falske utrykninger
2882407,2025-01-07 16:04:06,16,Dag,False,3,10.783333333333333,0,Normal,Normal,Unødige og falske utrykninger
2882417,2025-01-07 16:12:57,16,Dag,False,3,20.1,1,Degradert,Normal,Brann
2882426,2025-01-07 16:22:51,16,Dag,False,3,15.533333333333333,1,Degradert,Normal,Andre typer oppdrag
2882467,2025-01-07 17:11:59,17,Dag,False,3,12.966666666666667,0,Normal,Normal,Unødige og falske utrykninger
2882542,2025-01-07 18:39:45,18,Dag,False,3,15.266666666666667,0,Normal,Normal,Brann
2882625,2025-01-07 19:57:06,19,Natt,False,2,12.966666666666667,0,Normal,Normal,Andre typer oppdrag
2882629,2025-01-07 20:04:40,20,Natt,False,2,14.216666666666667,1,Svikt,Degradert,Unødige og falske utrykninger
2882696,2025-01-07 21:39:52,21,Natt,False,2,12.966666666666667,0,Normal,Normal,Unødige og falske utrykninger
2882723,2025-01-07 22:45:35,22,Natt,False,2,10.283333333333333,0,Normal,Normal,Unødige og falske utrykninger
2882735,2025-01-07 23:25:38,23,Natt,False,2,11.366666666666667,0,Normal,Normal,Unødige og falske utrykninger
2882734,2025-01-07 23:26:34,23,Natt,False,2,12.966666666666667,1,Svikt,Degradert,Ulykke
2882753,2025-01-08 00:02:48,0,Natt,False,2,12.966666666666667,0,Normal,Normal,Unødige og falske utrykninger
2882784,2025-01-08 02:35:42,2,Natt,False,2,12.966666666666667,0,Normal,Normal,Unødige og falske utrykninger
2882785,2025-01-08 02:36:49,2,Natt,False,2,8.383333333333333,1,Svikt,Degradert,Unødige og falske utrykninger
2882793,2025-01-08 03:04:07,3,Natt,False,2,22.45,0,Normal,Normal,Unødige og falske utrykninger
2882831,2025-01-08 06:38:03,6,Natt,False,2,17.46666666666667,0,Normal,Normal,Ulykke
2883034,2025-01-08 09:00:33,9,Dag,False,3,15.3,0,Normal,Normal,Unødige og falske utrykninger
2883196,2025-01-08 10:04:08,10,Dag,False,3,49.28333333333333,0,Normal,Normal,Andre typer oppdrag
2883291,2025-01-08 10:42:30,10,Dag,False,3,12.966666666666667,1,Degradert,Normal,Brann
2883361,2025-01-08 11:00:56,11,Dag,False,3,12.966666666666667,0,Normal,Normal,Unødige og falske utrykninger
2883355,2025-01-08 11:03:16,11,Dag,False,3,12.966666666666667,1,Degradert,Normal,Unødige og falske utrykninger
2883403,2025-01-08 11:19:30,11,Dag,False,3,13.533333333333333,0,Normal,Normal,Brann
2883747,2025-01-08 13:52:35,13,Dag,False,3,6.6,0,Normal,Normal,Unødige og falske utrykninger
2883863,2025-01-08 14:44:51,14,Dag,False,3,17.433333333333334,0,Normal,Normal,Unødige og falske utrykninger
2884060,2025-01-08 16:54:34,16,Dag,False,3,11.566666666666666,0,Normal,Normal,Unødige og falske utrykninger
2884093,2025-01-08 17:20:55,17,Dag,False,3,8.716666666666667,0,Normal,Normal,Brann
2884104,2025-01-08 17:31:29,17,Dag,False,3,19.733333333333334,0,Normal,Normal,Brann
2884109,2025-01-08 17:35:39,17,Dag,False,3,9.6,1,Degradert,Normal,Unødige og falske utrykninger
2884120,2025-01-08 17:46:00,17,Dag,False,3,13.983333333333333,1,Degradert,Normal,Unødige og falske utrykninger
2884203,2025-01-08 19:06:19,19,Natt,False,2,12.966666666666667,0,Normal,Normal,Unødige og falske utrykninger
2884233,2025-01-08 19:57:46,19,Natt,False,2,10.483333333333334,0,Normal,Normal,Unødige og falske utrykninger
2884268,2025-01-08 20:51:28,20,Natt,False,2,26.6,0,Normal,Normal,Unødige og falske utrykninger
2884309,2025-01-08 22:16:33,22,Natt,False,2,7.883333333333334,0,Normal,Normal,Unødige og falske utrykninger
2884352,2025-01-08 23:47:01,23,Natt,False,2,10.366666666666667,0,Normal,Normal,Ulykke
2884384,2025-01-09 01:17:47,1,Natt,False,2,13.583333333333334,0,Normal,Normal,Unødige og falske utrykninger
2884388,2025-01-09 01:43:23,1,Natt,False,2,18.316666666666666,0,Normal,Normal,Unødige og falske utrykninger
2884409,2025-01-09 03:07:18,3,Natt,False,2,12.966666666666667,0,Normal,Normal,Unødige og falske utrykninger
2884414,2025-01-09 04:18:01,4,Natt,False,2,11.783333333333333,0,Normal,Normal,Unødige og falske utrykninger
2884424,2025-01-09 06:02:39,6,Natt,False,2,15.316666666666666,0,Normal,Normal,Unødige og falske utrykninger
2884438,2025-01-09 06:38:19,6,Natt,False,2,12.966666666666667,0,Normal,Normal,Unødige og falske utrykninger
2884789,2025-01-09 09:49:24,9,Dag,False,3,6.283333333333333,0,Normal,Normal,Unødige og falske utrykninger
2884807,2025-01-09 09:55:54,9,Dag,False,3,12.966666666666667,0,Normal,Normal,Unødige og falske utrykninger
2884907,2025-01-09 10:30:33,10,Dag,False,3,12.966666666666667,0,Normal,Normal,Unødige og falske utrykninger
2884993,2025-01-09 11:02:33,11,Dag,False,3,17.483333333333334,0,Normal,Normal,Unødige og falske utrykninger
2885054,2025-01-09 11:26:50,11,Dag,False,3,6.883333333333333,0,Normal,Normal,Unødige og falske utrykninger
2885389,2025-01-09 13:26:18,13,Dag,False,3,14.533333333333333,0,Normal,Normal,Unødige og falske utrykninger
2885732,2025-01-09 16:20:51,16,Dag,False,3,14.1,0,Normal,Normal,Ulykke
2885836,2025-01-09 18:03:51,18,Dag,False,3,19.083333333333332,0,Normal,Normal,Unødige og falske utrykninger
2886033,2025-01-09 21:48:55,21,Natt,False,2,24.066666666666666,0,Normal,Normal,Unødige og falske utrykninger
2886080,2025-01-09 23:05:16,23,Natt,False,2,18.933333333333334,0,Normal,Normal,Unødige og falske utrykninger
2886146,2025-01-10 03:28:33,3,Natt,False,2,16.05,0,Normal,Normal,Ulykke
2886226,2025-01-10 07:22:23,7,Dag,False,3,7.566666666666666,0,Normal,Normal,Unødige og falske utrykninger
2886298,2025-01-10 08:09:54,8,Dag,False,3,12.533333333333333,0,Normal,Normal,Unødige og falske utrykninger
2886387,2025-01-10 08:46:05,8,Dag,False,3,12.966666666666667,0,Normal,Normal,Andre typer oppdrag
2886635,2025-01-10 10:25:30,10,Dag,False,3,14.783333333333333,0,Normal,Normal,Andre typer oppdrag
2886664,2025-01-10 10:35:11,10,Dag,False,3,15.133333333333333,1,Degradert,Normal,Unødige og falske utrykninger
2886685,2025-01-10 10:42:02,10,Dag,False,3,12.616666666666667,1,Degradert,Normal,Unødige og falske utrykninger
2886758,2025-01-10 11:24:23,11,Dag,False,3,24.416666666666668,0,Normal,Normal,Brann
2886853,2025-01-10 12:18:45,12,Dag,False,3,12.966666666666667,0,Normal,Normal,Ulykke
2887157,2025-01-10 14:26:05,14,Dag,False,3,6.033333333333333,0,Normal,Normal,Unødige og falske utrykninger
2887280,2025-01-10 15:38:50,15,Dag,False,3,12.966666666666667,0,Normal,Normal,Unødige og falske utrykninger
2887508,2025-01-10 19:19:23,19,Natt,False,2,15.433333333333334,0,Normal,Normal,Brann
2887516,2025-01-10 19:31:18,19,Natt,False,2,17.933333333333334,1,Svikt,Degradert,Brann
2887575,2025-01-10 20:29:47,20,Natt,False,2,33.2,0,Normal,Normal,Unødige og falske utrykninger
2887662,2025-01-10 22:35:22,22,Natt,False,2,9.233333333333334,0,Normal,Normal,Unødige og falske utrykninger
2887672,2025-01-10 23:00:54,23,Natt,False,2,14.2,0,Normal,Normal,Ulykke
2887807,2025-01-11 07:43:54,7,Dag,True,2,8.266666666666666,0,Normal,Normal,Unødige og falske utrykninger
2887809,2025-01-11 07:50:58,7,Dag,True,2,14.15,1,Svikt,Degradert,Unødige og falske utrykninger
2887822,2025-01-11 08:24:22,8,Dag,True,2,12.966666666666667,0,Normal,Normal,Unødige og falske utrykninger
2887852,2025-01-11 09:17:04,9,Dag,True,2,11.916666666666666,0,Normal,Normal,Brann
2887941,2025-01-11 10:40:25,10,Dag,True,2,10.016666666666666,0,Normal,Normal,Unødige og falske utrykninger
2887983,2025-01-11 11:36:40,11,Dag,True,2,28.95,0,Normal,Normal,Brann
2887988,2025-01-11 11:41:09,11,Dag,True,2,14.2,1,Svikt,Degradert,Unødige og falske utrykninger
2888028,2025-01-11 12:19:44,12,Dag,True,2,11.766666666666667,0,Normal,Normal,Ulykke
2888054,2025-01-11 12:42:30,12,Dag,True,2,8.5,0,Normal,Normal,Ulykke
2888066,2025-01-11 12:48:31,12,Dag,True,2,9.8,1,Svikt,Degradert,Unødige og falske utrykninger
2888217,2025-01-11 15:15:32,15,Dag,True,2,11.083333333333334,0,Normal,Normal,Unødige og falske utrykninger
2888238,2025-01-11 15:35:47,15,Dag,True,2,27.766666666666666,0,Normal,Normal,Andre typer oppdrag
2888266,2025-01-11 15:54:17,15,Dag,True,2,12.966666666666667,1,Svikt,Degradert,Brann
2888302,2025-01-11 16:38:50,16,Dag,True,2,12.966666666666667,0,Normal,Normal,Andre typer oppdrag
2888361,2025-01-11 17:32:07,17,Dag,True,2,14.533333333333333,0,Normal,Normal,Brann
2888389,2025-01-11 17:54:25,17,Dag,True,2,8.816666666666666,0,Normal,Normal,Unødige og falske utrykninger
2888392,2025-01-11 18:01:08,18,Dag,True,2,10.333333333333332,1,Svikt,Degradert,Unødige og falske utrykninger
2888485,2025-01-11 19:15:36,19,Natt,True,2,12.966666666666667,0,Normal,Normal,Unødige og falske utrykninger
2888489,2025-01-11 19:22:50,19,Natt,True,2,17.53333333333333,1,Svikt,Degradert,Brann
2888492,2025-01-11 19:23:50,19,Natt,True,2,8.666666666666668,2,Svikt,Svikt,Unødige og falske utrykninger
2888529,2025-01-11 20:17:59,20,Natt,True,2,12.966666666666667,0,Normal,Normal,Unødige og falske utrykninger
2888601,2025-01-11 22:10:51,22,Natt,True,2,8.433333333333334,0,Normal,Normal,Unødige og falske utrykninger
2888608,2025-01-11 22:19:17,22,Natt,True,2,12.966666666666667,0,Normal,Normal,Unødige og falske utrykninger
2888646,2025-01-11 23:42:22,23,Natt,True,2,18.483333333333334,0,Normal,Normal,Unødige og falske utrykninger
2888651,2025-01-12 00:00:34,0,Natt,True,2,11.866666666666667,1,Svikt,Degradert,Andre typer oppdrag
2888667,2025-01-12 00:30:07,0,Natt,True,2,12.966666666666667,0,Normal,Normal,Unødige og falske utrykninger
2888692,2025-01-12 02:12:30,2,Natt,True,2,13.083333333333334,0,Normal,Normal,Brann
2888807,2025-01-12 09:02:20,9,Dag,True,2,11.75,0,Normal,Normal,Brann
2888825,2025-01-12 09:32:49,9,Dag,True,2,12.683333333333334,0,Normal,Normal,Unødige og falske utrykninger
2888844,2025-01-12 09:59:32,9,Dag,True,2,11.116666666666667,0,Normal,Normal,Unødige og falske utrykninger
2888842,2025-01-12 10:08:20,10,Dag,True,2,12.966666666666667,1,Svikt,Degradert,Unødige og falske utrykninger
2888955,2025-01-12 11:55:18,11,Dag,True,2,10.966666666666667,0,Normal,Normal,Brann
2889056,2025-01-12 13:49:09,13,Dag,True,2,39.583333333333336,0,Normal,Normal,Andre typer oppdrag
2889040,2025-01-12 13:51:14,13,Dag,True,2,12.966666666666667,1,Svikt,Degradert,Unødige og falske utrykninger
2889079,2025-01-12 14:16:46,14,Dag,True,2,18.483333333333334,1,Svikt,Degradert,Unødige og falske utrykninger
2889124,2025-01-12 15:23:24,15,Dag,True,2,12.966666666666667,0,Normal,Normal,110-oppdrag uten involvering av brannvesen
